#
# TESLA context-entry-and-exit microbenchmark
#

# CFLAGS = ' -D DO_WORK -D RUNS=100000'
# asserts       runs    trial1  trial2  trial3
  1             100000  0.54303 0.53059 0.53156
  2             100000  0.59162 0.57979 0.58359
  3             100000  0.66749 0.65694 0.62599
  4             100000  0.68451 0.68359 0.69032
  5             100000  0.7318  0.72276 0.72232
  6             100000  0.77745 0.78176 0.77484
  7             100000  0.80478 0.80276 0.87133
  8             100000  0.9808  0.87441 0.85979
  9             100000  0.93059 0.92953 0.97881
  10            100000  0.97282 0.96915 0.97404
  11            100000  0.95934 0.95445 0.95876
  12            100000  0.99859 0.94617 0.93555
  13            100000  0.94691 0.9511  0.95883
  14            100000  0.96071 0.96429 0.97072
  15            100000  0.97074 0.97395 0.95695
#  16            100000  0.95861 0.95159 0.94281
#  17            100000  0.99451 0.95148 0.94913
#  18            100000  0.94456 0.94775 0.95089
#  19            100000  0.95226 0.94868 0.94403
#  20            100000  0.96398 0.94098 0.93412
#  21            100000  0.9472  0.95215 0.954
#  22            100000  0.94107 0.94181 0.96814
#  23            100000  0.97186 0.93628 0.93567
#  24            100000  0.95636 0.97099 0.947
#  25            100000  0.97363 0.96896 0.9428
#  26            100000  0.9577  0.9385  0.95497
#  27            100000  0.95471 0.93838 0.93801
#  28            100000  0.97334 0.95802 0.94083
#  29            100000  0.97612 0.95043 0.9683
#  30            100000  0.94549 0.93804 0.95066

# CFLAGS = '  -D RUNS=1000000'
# asserts       runs    trial1  trial2  trial3
  1             1000000 0.48823 0.47851 0.47623
  2             1000000 0.93506 0.95689 1.0008
  3             1000000 1.4305  1.4297  1.509
  4             1000000 2.0012  1.9268  1.9154
  5             1000000 2.382   2.3981  2.3511
  6             1000000 2.8609  2.8127  2.8475
  7             1000000 3.4031  3.4073  3.2973
  8             1000000 3.7157  3.6728  3.6821
  9             1000000 4.1973  4.2167  4.3142
  10            1000000 4.766   4.6283  4.6034
  11            1000000 4.6103  4.6162  4.5948
  12            1000000 4.5942  4.6147  4.7691
  13            1000000 4.6193  4.8267  4.783
  14            1000000 4.6398  4.8079  4.653
  15            1000000 4.7958  4.6898  4.8452
#  16            1000000 4.6817  4.8044  4.8563
#  17            1000000 4.8674  4.6593  4.703
#  18            1000000 4.6629  4.8767  4.7669
#  19            1000000 4.6838  4.6975  4.7355
#  20            1000000 4.8196  4.8641  4.6326
#  21            1000000 5.3603  4.6533  4.6455
#  22            1000000 4.804   4.7138  4.6752
#  23            1000000 4.886   4.968   4.778
#  24            1000000 4.7934  4.7321  4.8089
#  25            1000000 4.8475  4.707   4.6786
#  26            1000000 4.7256  4.7362  4.6036
#  27            1000000 4.6317  4.5901  4.6101
#  28            1000000 4.6142  4.7799  4.8636
#  29            1000000 4.6881  4.6846  4.8277
#  30            1000000 4.7925  4.7802  4.6768
